ID;Module;Fonctionnalité;Cas de Test;Description;Étapes;Résultat Attendu;Priorité
AUT-01;Authentification;Connexion;Connexion réussie;Vérifier que l'utilisateur peut se connecter avec des identifiants valides;"1. Accéder à la page de connexion
2. Saisir email et mot de passe valides
3. Cliquer sur Se connecter";Redirection vers le tableau de bord correspondant au rôle;Haute
AUT-02;Authentification;Connexion;Échec de connexion;Vérifier le message d'erreur pour des identifiants invalides;"1. Saisir un email ou mot de passe incorrect
2. Cliquer sur Se connecter";Affichage d'un message d'erreur ""Identifiants invalides"";Haute
AUT-03;Authentification;Inscription;Création de compte;Vérifier qu'un nouvel utilisateur peut s'inscrire;"1. Accéder à la page d'inscription
2. Remplir le formulaire
3. Valider";Compte créé et redirection/message de confirmation;Haute
PRO-01;Profil;Mon Compte;Modification du profil;Vérifier la mise à jour des informations personnelles;"1. Aller dans Mon Compte
2. Modifier le nom ou l'avatar
3. Enregistrer";Les modifications sont enregistrées et affichées;Moyenne
DSH-01;Tableau de Bord;Point Focal;Affichage des statistiques;Vérifier que les compteurs de projets et tâches sont corrects;"1. Se connecter en tant que Point Focal
2. Consulter le dashboard";Les chiffres correspondent aux données réelles de l'utilisateur;Moyenne
PRJ-01;Gestion de Projets;Création;Nouveau projet;Vérifier la création d'un projet par un Point Focal;"1. Cliquer sur ""Nouveau Projet""
2. Remplir les champs obligatoires
3. Enregistrer";Le projet apparaît dans la liste ""Mes Projets"" avec le statut ""Brouillon"";Haute
PRJ-02;Gestion de Projets;Consultation;Détails projet;Vérifier l'affichage complet des informations d'un projet;"1. Sélectionner un projet dans la liste
2. Cliquer sur ""Voir les détails""";Toutes les sections (Infos, Documents, Indicateurs) sont affichées correctement;Haute
MAP-01;Cartographie;Carte interactive;Filtres de recherche;Vérifier que les filtres pays/secteur fonctionnent sur la carte;"1. Accéder à la carte
2. Appliquer un filtre par Pays
3. Appliquer un filtre par Secteur";Seuls les projets correspondant aux critères sont affichés sur la carte;Moyenne
FSU-01;FSU;Saisie de données;Soumission FSU;Vérifier la saisie et l'envoi d'une fiche de suivi;"1. Accéder à Saisie FSU
2. Remplir les indicateurs
3. Cliquer sur Soumettre";La fiche est enregistrée et envoyée pour validation;Haute
FSU-02;FSU;Brouillon;Sauvegarde brouillon;Vérifier qu'une saisie peut être reprise plus tard;"1. Commencer une saisie FSU
2. Cliquer sur ""Enregistrer comme brouillon""";La fiche est listée dans ""Mes Brouillons"" et modifiable;Moyenne
VAL-01;Validation;Approbation;Valider un projet;Vérifier que l'Admin Pays peut valider un projet soumis;"1. Se connecter en Admin Pays
2. Aller dans Validation
3. Sélectionner un projet ""En attente""
4. Cliquer sur Valider";Le statut du projet passe à ""Validé"" et est visible publiquement;Haute
FRM-01;Forum;Sujets;Création de sujet;Vérifier qu'un utilisateur peut lancer une discussion;"1. Accéder au Forum
2. Cliquer sur ""Nouveau Sujet""
3. Saisir titre et contenu
4. Publier";Le sujet apparaît dans la liste des discussions de la catégorie;Moyenne
FRM-02;Forum;Réponses;Répondre à un sujet;Vérifier l'ajout d'un commentaire sur un sujet existant;"1. Ouvrir un sujet
2. Saisir une réponse
3. Cliquer sur Envoyer";La réponse est ajoutée à la suite du sujet;Moyenne
NWS-01;Actualités;Public;Lecture article;Vérifier l'affichage d'une actualité;"1. Aller sur la page Actualités
2. Cliquer sur un article";L'article complet s'affiche avec images et texte;Basse
ADM-01;Administration;Utilisateurs;Invitation utilisateur;Vérifier l'envoi d'une invitation par un Admin;"1. Aller dans Gestion des Utilisateurs
2. Cliquer sur ""Inviter""
3. Saisir l'email et le rôle";Un email d'invitation est envoyé et l'utilisateur apparaît en ""Attente"";Haute
ADM-02;Administration;Paramètres;Changement de langue;Vérifier que la plateforme change de langue correctement;"1. Cliquer sur le sélecteur de langue (FR/EN/PT/AR)
2. Naviguer sur les pages";L'interface est traduite dans la langue sélectionnée;Haute
REP-01;Rapports;Générateur;Export PDF;Vérifier l'export d'un rapport de projet;"1. Ouvrir un rapport de projet
2. Cliquer sur ""Exporter en PDF""";Un fichier PDF bien formaté est téléchargé;Moyenne
TRN-01;Formation;Catalogue;Inscription formation;Vérifier l'accès à un module de formation;"1. Aller dans Formation
2. Sélectionner un module
3. Cliquer sur ""Démarrer""";Le contenu de la formation est accessible;Moyenne
SPT-01;Support;Tickets;Ouvrir un ticket;Vérifier la création d'une demande d'assistance;"1. Aller dans Support
2. Créer un nouveau ticket
3. Valider";Le ticket est créé avec un numéro de suivi;Basse
COR-01;Co-Rédaction;Workflow;Édition collaborative;Vérifier l'accès à l'espace de co-rédaction;"1. Accéder à Co-rédaction
2. Ouvrir un document partagé";Le document est éditable par les contributeurs autorisés;Moyenne
PUB-01;Pages Publiques;SUTEL;Affichage page SUTEL;Vérifier l'accès à la page SUTEL;"1. Aller sur la page SUTEL";Le contenu spécifique au SUTEL s'affiche correctement;Basse
PUB-02;Pages Publiques;Membres;Membres associés;Vérifier la liste des membres associés;"1. Aller sur la page Membres Associés";La liste des organisations partenaires est affichée;Basse
PUB-03;Pages Publiques;Histoire;Notre Histoire;Vérifier la timeline historique;"1. Aller sur Notre Histoire";La frise chronologique de l'USF ADC est fonctionnelle;Basse
PUB-04;Pages Publiques;Equipe;Equipe dirigeante;Vérifier l'organigramme;"1. Aller sur Equipe dirigeante";Les photos et bios des dirigeants sont affichées;Basse
